relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.1,0.1,0.8,0.2,0.008174603174603175,0.09223300970873786,0.14026295731707317,39
0.1,0.1,0.8,0.3,0.010436507936507937,0.20912547528517111,0.27468466402385083,41
0.1,0.1,0.8,0.5,0.01253968253968254,0.34177215189873417,0.42230156600643964,44
0.1,0.1,0.9,0.1,0.0023015873015873015,0.06896551724137931,0.16666666666666666,22
0.1,0.1,0.9,0.2,0.008055555555555555,0.09359605911330049,0.14130719326200772,39
0.1,0.1,0.9,0.3,0.010317460317460317,0.21153846153846154,0.2758682486713632,41
0.1,0.1,0.9,0.5,0.01242063492063492,0.3450479233226837,0.42500850340136054,44
0.1,0.1,0.95,0.1,0.0023015873015873015,0.06896551724137931,0.17571542130365658,22
0.1,0.1,0.95,0.2,0.008015873015873016,0.0891089108910891,0.1374527783501614,39
0.1,0.1,0.95,0.3,0.010238095238095239,0.2054263565891473,0.2724294670846395,41
0.1,0.1,0.95,0.5,0.01234126984126984,0.3408360128617363,0.41904899532067164,44
0.1,0.2,0.8,0.05,0.0013095238095238095,0.06060606060606061,0.14303135888501725,18
0.1,0.2,0.8,0.1,0.01011904761904762,0.10196078431372549,0.15039483129935388,40
0.1,0.2,0.8,0.2,0.034126984126984124,0.21511627906976744,0.25355616155660377,49
0.1,0.2,0.8,0.3,0.051626984126984125,0.3843197540353574,0.41951359686010653,50
0.1,0.2,0.8,0.5,0.06845238095238096,0.5228985507246376,0.5590555449793299,50
0.1,0.2,0.9,0.05,0.0013095238095238095,0.06060606060606061,0.15384615384615385,18
0.1,0.2,0.9,0.1,0.009841269841269842,0.10483870967741936,0.15575081967213114,40
0.1,0.2,0.9,0.2,0.03325396825396825,0.2159904534606205,0.2534599560244119,49
0.1,0.2,0.9,0.3,0.050277777777777775,0.3851617995264404,0.419413990743806,50
0.1,0.2,0.9,0.5,0.06662698412698413,0.5229303156640858,0.5590187681968861,50
